Pfeiffer read started at 2017-07-11 10:13:53 (EDT)
Time (s)	Pressure (Torr)
1499820346	3.63e-07
1499820407	3.63e-07
1499820467	3.64e-07
1499820528	3.64e-07
1499829789	5.2e-07
1499829853	5.22e-07
1499829913	5.23e-07
1499829974	5.24e-07
1499830034	5.25e-07
1499830094	5.26e-07
1499830155	5.27e-07
1499830215	5.29e-07
1499830276	5.3e-07
1499830336	5.31e-07
1499830397	5.32e-07
1499830457	5.33e-07
1499830518	5.35e-07
1499830578	5.35e-07
1499830638	5.36e-07
1499830699	5.38e-07
1499830759	5.39e-07
1499830820	5.4e-07
1499830880	5.41e-07
1499830941	5.42e-07
1499831001	5.43e-07
1499831062	5.44e-07
1499831122	5.44e-07
1499831183	5.45e-07
1499831243	5.47e-07
1499831303	5.47e-07
1499831364	5.48e-07
1499831424	5.49e-07
1499831485	5.5e-07
1499831545	5.51e-07
1499842814	6.5e-07
1499842878	6.5e-07
1499842938	6.5e-07
1499842999	6.51e-07
1499843059	6.51e-07
