Pfeiffer read started at 2017-07-19 10:22:13 (EDT)
Time (s)	Pressure (Torr)
1500474135	8.04e-07
1500474195	8.04e-07
1500474256	8.03e-07
1500474316	1.82e-06
1500474377	5.33e-06
1500474437	5.66e-06
1500474497	5.63e-06
1500474558	5.59e-06
1500474618	5.58e-06
1500474679	5.57e-06
1500474739	5.58e-06
1500474800	5.58e-06
1500474860	5.59e-06
1500474921	5.6e-06
1500474981	5.61e-06
1500475041	5.62e-06
1500475102	5.62e-06
1500475162	5.62e-06
1500475223	5.62e-06
1500475283	5.61e-06
1500475344	5.61e-06
1500475404	5.61e-06
1500475465	5.61e-06
1500475525	5.62e-06
