Temperature read started at 2017-10-31 10:04:17 (EDT)
Time (s)	Ambient (C)	Plate (C)	Sample (C)
1509458748	28.63		23.78		22.32
1509458822	28.59		24.16		22.23
1509458896	28.67		23.72		22.35
1509458970	28.59		23.72		22.32
1509459044	28.71		23.90		22.38
1509459118	28.75		24.02		22.29
1509459192	28.79		24.19		22.40
1509459266	28.79		23.67		22.52
1509459340	28.75		23.49		22.46
1509459414	28.71		24.34		22.40
1509459488	28.83		24.37		22.43
1509459562	28.79		24.11		22.49
1509459636	28.79		23.96		22.40
1509459710	28.79		23.70		22.38
1509459784	28.87		24.02		22.38
1509459858	28.79		23.67		22.43
1509459932	28.79		24.22		22.29
1509460006	28.79		24.34		22.40
1509460080	28.75		24.05		22.43
1509460154	28.67		23.96		22.43
1509460228	28.67		23.93		22.40
1509460302	28.71		24.11		22.43
1509460376	28.79		23.99		22.32
1509460450	28.83		24.11		22.43
1509460524	28.83		24.02		22.40
1509460598	28.91		23.90		22.40
1509460672	28.87		23.72		22.43
1509460746	28.83		23.93		22.46
1509460820	28.87		23.99		22.55
1509460894	28.87		23.70		22.55
1509460968	28.75		23.67		22.49
1509461042	28.83		23.90		22.43
1509461116	28.83		23.52		22.49
1509461190	28.79		24.05		22.46
1509461264	28.83		23.81		22.49
1509461338	28.87		23.99		22.46
1509461412	28.91		24.40		22.46
1509461486	29.02		23.87		22.49
1509461560	28.87		24.16		22.49
1509461634	28.87		23.37		22.43
1509461708	28.83		23.87		22.58
1509461782	28.87		24.16		22.46
1509461856	28.91		24.08		22.40
1509461931	28.94		24.13		22.52
1509462005	29.02		23.99		22.52
1509462079	28.98		23.61		22.43
1509462153	29.02		24.16		22.46
1509462227	28.98		23.81		22.52
1509462301	28.87		24.11		22.52
1509462375	28.98		24.55		22.58
1509462449	28.98		23.90		22.55
1509462523	28.98		23.72		22.55
1509462597	28.91		23.87		22.49
1509462671	28.98		23.90		22.58
1509462745	28.98		24.02		22.55
1509462819	29.02		24.02		22.58
1509462893	28.98		23.93		22.58
1509462967	29.10		23.81		22.55
1509463041	29.02		23.31		22.55
1509463115	29.02		21.50		22.52
1509463189	29.10		18.91		22.67
1509463263	29.02		15.63		22.52
1509463337	28.94		12.17		22.58
1509463411	28.83		7.04		22.49
1509463485	28.51		4.99		22.46
1509463559	28.28		1.38		22.35
1509463633	27.93		-1.61		22.38
1509463707	27.50		-1.82		22.32
1509463781	27.26		-1.70		22.14
1509463855	27.03		-1.67		22.17
1509463929	26.87		-1.58		22.02
1509464003	26.87		-1.58		22.02
1509464077	26.87		-2.23		21.99
1509464151	26.87		-1.67		22.05
1509464225	26.91		-1.96		21.82
1509464299	26.95		-1.41		21.91
1509464373	26.99		-1.61		21.88
1509464447	27.07		-1.82		21.82
1509464521	27.18		-1.35		21.76
1509464595	27.22		-1.17		21.67
1509464669	27.30		-1.17		21.79
1509464743	27.46		-1.32		21.67
1509464817	27.61		-1.64		21.64
1509464891	27.54		-1.38		21.58
1509464965	27.61		-1.44		21.44
1509465039	27.73		-1.32		21.44
1509465113	27.81		-1.09		21.52
1509465187	27.73		-1.52		21.38
1509465261	27.81		-1.29		21.38
1509465335	27.89		-1.14		21.41
1509465409	27.97		-1.14		21.29
1509465483	28.04		-0.94		21.38
1509465557	28.04		-1.09		21.26
1509465631	28.12		-0.67		21.32
1509465705	28.12		-1.00		21.20
1509465779	28.08		-1.00		21.26
1509465853	28.20		-0.67		21.20
1509465927	28.16		-0.79		21.14
1509466001	28.24		-0.91		21.03
1509466075	28.28		-0.62		21.14
1509466149	28.24		-0.85		21.17
1509466224	28.36		-0.21		20.91
1509466298	28.28		-0.23		20.91
1509466372	28.32		-0.50		21.03
1509466446	28.28		-0.06		20.97
Temperature read started at 2017-10-31 12:14:48 (EDT)
Time (s)	Ambient (C)	Plate (C)	Sample (C)
1509466579	28.28		-0.06		20.82
1509466653	28.28		0.09		20.91
1509466727	28.28		0.18		20.94
1509466801	28.44		0.53		20.82
1509466875	28.48		-0.03		20.79
1509466949	28.44		0.21		20.79
1509467023	28.40		0.85		20.82
1509467097	28.48		0.38		20.76
1509467171	28.51		0.70		20.76
1509467245	28.48		0.56		20.67
1509467319	28.48		0.65		20.67
1509467393	28.59		0.38		20.65
1509467467	28.48		0.29		20.65
1509467541	28.55		0.35		20.67
1509467615	28.48		0.53		20.53
1509467689	28.63		0.56		20.62
1509467763	28.71		0.53		20.67
1509467837	28.59		0.50		20.56
1509467911	28.55		-0.09		20.56
1509467985	28.63		0.00		20.50
1509468059	28.67		-0.12		20.50
1509468133	28.63		-0.47		20.53
1509468207	28.71		0.35		20.44
1509468281	28.63		-0.23		20.44
1509468355	28.40		-0.38		20.59
1509468429	28.16		-0.62		20.26
1509468503	27.93		-0.29		20.35
1509468577	27.54		-0.41		20.29
1509468652	27.15		-0.76		20.26
1509468726	26.95		-0.38		20.21
1509468800	26.64		-0.88		20.21
1509468874	26.52		-0.97		20.23
1509468948	26.36		-0.56		20.15
1509469022	26.40		-0.73		20.15
1509469096	26.40		-0.47		20.21
1509469170	26.56		-0.41		20.09
1509469244	26.52		-0.65		20.06
1509469318	26.52		-0.62		20.15
1509469392	26.72		-0.53		19.97
1509469466	26.72		-1.23		20.09
1509469540	26.87		-0.67		19.91
1509469614	26.91		-0.70		19.97
1509469688	27.07		-1.06		19.85
1509469762	27.15		-0.56		19.91
1509469836	27.22		-0.41		19.82
1509469910	27.22		-0.85		19.88
1509469984	27.34		-0.44		19.82
1509470058	27.42		-0.73		19.82
1509470132	27.34		-0.73		19.85
1509470206	27.54		-0.09		19.82
1509470280	27.54		-0.50		19.74
1509470354	27.69		-0.38		19.79
1509470428	27.61		-0.62		19.74
1509470502	27.77		-0.29		19.74
